0.1    4884.15733076158
0.2    1221.74563231377
0.3    542.895615018448
0.4    305.490328717237
0.5    195.441267804225
0.6    135.634944367358
0.7    99.6888446232196
0.8    76.3279999439838
0.9    60.3129484517449
1    48.5910482008407
2    12.1823922547484
3    5.50988511480644
4    3.24566056397940
5    2.27806159168665
6    1.83424044113690
7    1.65787706074812
8    1.63464742087502
9    1.71032293134128
10    1.86099087305156
11    2.06892220603358
12    2.32449838242932
13    2.62175459092597
14    2.95585446555723
15    3.32568293037635
16    3.73236116668698
17    4.17144090004650
18    4.63542652202141
19    5.13762916496498
20    5.66085428135909
25    8.74624735853677
30    12.5445347522558
35    17.0619150654218
40    22.2559451439257
45    28.1345279492574
50    34.7231329680252
55    42.0186250993689
60    50.0182529510191
