#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: May 6, 2015
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=8 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
mhp tb xsec unc- unc+
260 14 0.0252606 0.00498226 0.00488617 
260 15 0.0283318 0.00559877 0.00549027 
260 16 0.031741 0.00626898 0.00614719 
260 17 0.0353911 0.00699326 0.00685705 
260 18 0.039345 0.00777726 0.0076255 
260 19 0.0435147 0.00860451 0.0084363 
260 20 0.0479282 0.00947598 0.00929086 
260 25 0.0739489 0.014636 0.0143485 
260 30 0.105928 0.02113 0.0207168 
260 35 0.144011 0.0285179 0.0279562 
260 40 0.187813 0.0373589 0.0366262 
260 45 0.237625 0.0471708 0.0462424 
260 50 0.293388 0.0581095 0.0569637 
260 55 0.355383 0.0703762 0.0689898 
260 60 0.422718 0.0837097 0.0820607 
280 0.1 38.737 7.97057 7.89466 
280 0.2 9.68996 1.99262 1.97361 
280 0.3 4.30824 0.887529 0.879077 
280 0.4 2.42266 0.501012 0.496259 
280 0.5 1.55025 0.317895 0.314862 
280 0.6 1.07689 0.223147 0.221036 
280 0.7 0.79114 0.163018 0.161466 
280 0.8 0.605543 0.124895 0.123709 
280 0.9 0.478657 0.0984078 0.0974694 
280 1 0.388132 0.0804554 0.0796935 
280 2 0.097011 0.0200439 0.019853 
280 3 0.0438673 0.00908937 0.00900339 
280 4 0.0256622 0.00531326 0.00526278 
280 5 0.017816 0.00366858 0.00363321 
280 6 0.0141227 0.00289508 0.0028666 
280 7 0.0124921 0.00255127 0.00252545 
280 8 0.0121067 0.00247785 0.00245237 
280 9 0.012461 0.00252008 0.00249329 
280 10 0.0133564 0.00269637 0.00266711 
280 11 0.0146887 0.00299439 0.00296175 
280 12 0.0163941 0.00329471 0.00325794 
280 13 0.0184023 0.00372835 0.00368679 
280 14 0.0206669 0.00417231 0.00412533 
280 15 0.0231711 0.00468058 0.00462769 
280 16 0.0259412 0.00522591 0.00516644 
280 17 0.0289519 0.00585527 0.00578872 
280 18 0.0321314 0.00646261 0.0063885 
280 19 0.0355384 0.0071781 0.00709603 
280 20 0.039208 0.00789902 0.00780833 
280 25 0.0604186 0.0122195 0.0120793 
280 30 0.086511 0.017394 0.0171932 
280 35 0.117723 0.0236996 0.0234257 
280 40 0.153739 0.0310669 0.0307093 
280 45 0.194041 0.0392954 0.038843 
280 50 0.23969 0.048277 0.0477184 
280 55 0.29002 0.0584096 0.0577335 
280 60 0.345024 0.0698356 0.0690308 
300 0.1 32.1219 6.61 6.45039 
300 0.2 8.02815 1.65308 1.61316 
300 0.3 3.57095 0.737447 0.719682 
300 0.4 2.00703 0.411047 0.401049 
300 0.5 1.28348 0.264981 0.258586 
300 0.6 0.891951 0.183123 0.178689 
300 0.7 0.655582 0.135077 0.131813 
300 0.8 0.502099 0.103368 0.100872 
300 0.9 0.396832 0.0815642 0.0795924 
300 1 0.321389 0.06623 0.0646308 
300 2 0.080575 0.0166397 0.0162389 
300 3 0.0363549 0.00749855 0.00731784 
300 4 0.0212685 0.00438561 0.00427938 
300 5 0.0147747 0.00302498 0.00295056 
300 6 0.0116948 0.00240149 0.00234151 
300 7 0.0103255 0.00210763 0.0020533 
300 8 0.0100185 0.00204793 0.00199423 
300 9 0.0103045 0.00210777 0.00205136 
300 10 0.0110267 0.00222071 0.00215923 
300 11 0.012135 0.00247402 0.00240543 
300 12 0.0135499 0.00273603 0.00265874 
300 13 0.0152047 0.00307336 0.00298603 
300 14 0.0170698 0.00345381 0.00335512 
300 15 0.0191454 0.00387738 0.00376601 
300 16 0.0214103 0.00434206 0.00421715 
300 17 0.0238499 0.0048346 0.00469532 
300 18 0.0265297 0.00537878 0.00522335 
300 19 0.0293802 0.00595699 0.0057848 
300 20 0.0323597 0.00656314 0.0063731 
300 25 0.0498625 0.0101196 0.00982554 
300 30 0.0714401 0.0145028 0.0140807 
300 35 0.0970608 0.0197042 0.0191307 
300 40 0.126629 0.0257114 0.0249623 
300 45 0.160308 0.0325486 0.0316005 
300 50 0.198005 0.0401972 0.0390272 
300 55 0.239087 0.0485539 0.047138 
300 60 0.284909 0.0578492 0.0561639 
320 0.1 26.767 5.5512 5.41854 
320 0.2 6.69632 1.39022 1.35694 
320 0.3 2.97511 0.617021 0.602249 
320 0.4 1.67521 0.348751 0.340444 
320 0.5 1.07293 0.223997 0.218677 
320 0.6 0.743545 0.154454 0.150765 
320 0.7 0.546691 0.113836 0.11112 
320 0.8 0.418393 0.0871258 0.0850502 
320 0.9 0.330887 0.0687258 0.0670835 
320 1 0.267866 0.055565 0.0542348 
320 2 0.0671619 0.0139314 0.0135981 
320 3 0.0303117 0.00627342 0.00612296 
320 4 0.0177308 0.00367721 0.00358876 
320 5 0.0123029 0.00254704 0.00248509 
320 6 0.00976259 0.0020186 0.00196861 
320 7 0.00862731 0.00177134 0.00172616 
320 8 0.00832406 0.00170489 0.00166027 
320 9 0.00856426 0.00174729 0.0017004 
320 10 0.00917856 0.00187194 0.00182085 
320 11 0.0101052 0.00206922 0.00201224 
320 12 0.0112514 0.0023002 0.0022361 
320 13 0.0126017 0.00257866 0.00250631 
320 14 0.0141592 0.00289953 0.00281766 
320 15 0.0159004 0.00325813 0.00316592 
320 16 0.0178317 0.00365615 0.00355265 
320 17 0.0198786 0.00407241 0.00395677 
320 18 0.0220481 0.00452429 0.00439552 
320 19 0.0244011 0.00500762 0.00486492 
320 20 0.0268622 0.00551184 0.00535448 
320 25 0.0414531 0.00851053 0.00826719 
320 30 0.0593646 0.0121977 0.0118481 
320 35 0.0806708 0.016563 0.0160881 
320 40 0.105117 0.0215893 0.0209696 
320 45 0.1328 0.0272619 0.0264773 
320 50 0.164324 0.0337485 0.0327795 
320 55 0.198931 0.0408531 0.0396812 
320 60 0.236702 0.048597 0.0472023 
340 0.1 22.3602 4.67756 4.59458 
340 0.2 5.59518 1.16688 1.14608 
340 0.3 2.48734 0.521573 0.512324 
340 0.4 1.39951 0.295399 0.290194 
340 0.5 0.895207 0.187002 0.183671 
340 0.6 0.621886 0.129847 0.127533 
340 0.7 0.456851 0.0957314 0.0940336 
340 0.8 0.349551 0.0730019 0.0717017 
340 0.9 0.276107 0.0576436 0.0566161 
340 1 0.223855 0.0469424 0.046109 
340 2 0.056151 0.011721 0.0115121 
340 3 0.0253082 0.00528294 0.00518868 
340 4 0.0148184 0.00308688 0.00303148 
340 5 0.0102817 0.00215207 0.00211321 
340 6 0.00814479 0.001692 0.00166068 
340 7 0.00720294 0.00149525 0.00146693 
340 8 0.00695516 0.00144006 0.00141211 
340 9 0.00715066 0.00148091 0.00145159 
340 10 0.00767439 0.00159302 0.00156106 
340 11 0.00843628 0.00175397 0.00171838 
340 12 0.00939774 0.00195745 0.00191738 
340 13 0.0105634 0.00220033 0.0021551 
340 14 0.0118215 0.00246591 0.00241479 
340 15 0.0132561 0.00276314 0.00270562 
340 16 0.0148765 0.0031007 0.00303613 
340 17 0.0165413 0.00345186 0.00337962 
340 18 0.0183716 0.00382712 0.00374685 
340 19 0.0203277 0.00424518 0.00415611 
