 200    7.7673E-01    1.3666E-01    1.4293E-01
 220    6.4490E-01    1.1394E-01    1.2208E-01
 240    5.3916E-01    9.4029E-02    1.0456E-01
 260    4.5088E-01    8.3286E-02    8.5771E-02
 280    3.7909E-01    6.5400E-02    7.3524E-02
 300    3.1976E-01    5.6940E-02    6.1018E-02
 320    2.7238E-01    5.1385E-02    5.2733E-02
 340    2.3121E-01    4.4832E-02    4.6028E-02
 360    1.9883E-01    3.6575E-02    3.9887E-02
 380    1.6974E-01    3.0912E-02    3.3496E-02
 400    1.4574E-01    2.4751E-02    2.8742E-02
 420    1.2569E-01    1.8845E-02    2.4830E-02
 440    1.0821E-01    1.6360E-02    2.1196E-02
 460    9.4253E-02    1.4146E-02    1.8751E-02
 480    8.2037E-02    1.2346E-02    1.6418E-02
 500    7.1351E-02    1.1357E-02    1.4058E-02
 520    6.2682E-02    1.1211E-02    1.2637E-02
 540    5.4745E-02    1.0400E-02    1.0755E-02
 560    4.8288E-02    9.3966E-03    9.7843E-03
 580    4.2540E-02    8.4489E-03    8.6142E-03
 600    3.7490E-02    7.2470E-03    7.5530E-03
 620    3.3128E-02    6.4370E-03    6.7815E-03
 640    2.9403E-02    5.8816E-03    6.0318E-03
 660    2.6018E-02    5.2873E-03    5.2824E-03
 680    2.3059E-02    4.7071E-03    4.6160E-03
 700    2.0596E-02    4.0797E-03    4.1954E-03
 720    1.8386E-02    3.7259E-03    3.8378E-03
 740    1.6384E-02    3.4400E-03    3.3446E-03
 760    1.4634E-02    3.0612E-03    2.9700E-03
 780    1.3080E-02    2.7297E-03    2.6772E-03
 800    1.1732E-02    2.4416E-03    2.4077E-03
 820    1.0576E-02    2.2232E-03    2.1985E-03
 840    9.4924E-03    2.0129E-03    1.9664E-03
 860    8.5117E-03    1.8867E-03    1.7180E-03
 880    7.7001E-03    1.6765E-03    1.5792E-03
 900    6.9479E-03    1.4868E-03    1.4053E-03
 920    6.2848E-03    1.3327E-03    1.2783E-03
 940    5.6535E-03    1.2541E-03    1.1415E-03
 960    5.1246E-03    1.1136E-03    1.0364E-03
 980    4.6773E-03    1.0084E-03    9.7359E-04
1000    4.2404E-03    9.1279E-04   8.7824E-04
